date,station,airT,Longitude,Latitude
2014-10-16T23:00:00Z,PAR,25,-37.05311,-10.88105
2014-10-17T00:00:00Z,PAR,25,-37.05311,-10.88105
2014-10-17T01:00:00Z,PAR,25.2,-37.05311,-10.88105
2014-10-17T02:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-17T03:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-17T04:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-17T05:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-17T06:00:00Z,PAR,24.2,-37.05311,-10.88105
2014-10-17T07:00:00Z,PAR,24.2,-37.05311,-10.88105
2014-10-17T08:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-17T09:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-17T10:00:00Z,PAR,24.7,-37.05311,-10.88105
2014-10-17T11:00:00Z,PAR,24.7,-37.05311,-10.88105
2014-10-17T12:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-17T13:00:00Z,PAR,25.3,-37.05311,-10.88105
2014-10-17T14:00:00Z,PAR,25.8,-37.05311,-10.88105
2014-10-17T15:00:00Z,PAR,27.1,-37.05311,-10.88105
2014-10-17T16:00:00Z,PAR,26.6,-37.05311,-10.88105
2014-10-17T17:00:00Z,PAR,27,-37.05311,-10.88105
2014-10-17T18:00:00Z,PAR,27.6,-37.05311,-10.88105
2014-10-17T19:00:00Z,PAR,26.9,-37.05311,-10.88105
2014-10-17T20:00:00Z,PAR,26.7,-37.05311,-10.88105
2014-10-17T21:00:00Z,PAR,26.2,-37.05311,-10.88105
2014-10-17T22:00:00Z,PAR,25.4,-37.05311,-10.88105
2014-10-17T23:00:00Z,PAR,24.9,-37.05311,-10.88105
2014-10-18T00:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-18T01:00:00Z,PAR,24.7,-37.05311,-10.88105
2014-10-18T02:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-18T03:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-18T04:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-18T05:00:00Z,PAR,24.5,-37.05311,-10.88105
2014-10-18T06:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-18T07:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-18T08:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-18T09:00:00Z,PAR,23.6,-37.05311,-10.88105
2014-10-18T10:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-18T11:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-18T12:00:00Z,PAR,24.7,-37.05311,-10.88105
2014-10-18T13:00:00Z,PAR,26.6,-37.05311,-10.88105
2014-10-18T14:00:00Z,PAR,27.6,-37.05311,-10.88105
2014-10-18T15:00:00Z,PAR,28.2,-37.05311,-10.88105
2014-10-18T16:00:00Z,PAR,28.9,-37.05311,-10.88105
2014-10-18T17:00:00Z,PAR,29,-37.05311,-10.88105
